CountryCode,3letterCountryCode,アシタバ,アズキ,アピオス,アーティチョーク
AD,AND,0,0,0,0
AE,ARE,0,0,0,0
AF,AFG,0,13,0,0
AG,ATG,0,0,0,0
AI,AIA,0,0,0,0
AL,ALB,0,0,0,0
AM,ARM,0,0,0,0
AO,AGO,0,0,0,0
AQ,ATA,0,0,0,0
AR,ARG,0,0,0,1
AS,ASM,0,0,0,0
AT,AUT,0,0,4,0
AU,AUS,0,0,0,0
AW,ABW,0,0,0,0
AX,ALA,0,0,0,0
AZ,AZE,0,0,0,0
BA,BIH,0,0,0,0
BB,BRB,0,0,0,0
BD,BGD,0,0,0,0
BE,BEL,0,0,1,51
BF,BFA,0,0,0,0
BG,BGR,0,0,0,1
BH,BHR,0,0,0,0
BI,BDI,0,0,0,0
BJ,BEN,0,0,0,0
BL,BLM,0,0,0,0
BM,BMU,0,0,0,0
BN,BRN,0,0,0,0
BO,BOL,0,0,0,1
BQ,BES,0,0,0,0
BR,BRA,0,6,0,62
BS,BHS,0,0,0,0
BT,BTN,0,4,0,0
BV,BVT,0,0,0,0
BW,BWA,0,0,0,0
BY,BLR,0,0,0,0
BZ,BLZ,0,0,0,0
CA,CAN,0,0,1142,1
CC,CCK,0,0,0,0
CD,COD,0,0,0,0
CF,CAF,0,0,0,0
CG,COG,0,0,0,0
CH,CHE,0,0,19,4
CI,CIV,0,0,0,0
CK,COK,0,0,0,0
CL,CHL,0,0,0,1
CM,CMR,0,0,0,0
CN,CHN,0,143,0,2
CO,COL,0,0,0,54
CR,CRI,0,0,0,0
CU,CUB,0,1,0,0
CV,CPV,0,0,0,0
CW,CUW,0,0,0,0
CX,CXR,0,0,0,0
CY,CYP,0,0,0,0
CZ,CZE,0,0,1,0
DE,DEU,0,0,17,1
DJ,DJI,0,0,0,0
DK,DNK,0,0,0,1
DM,DMA,0,0,0,0
DO,DOM,0,0,0,0
DZ,DZA,0,0,0,1
EC,ECU,0,0,0,4
EE,EST,0,0,0,1
EG,EGY,0,0,0,0
EH,ESH,0,0,0,0
ER,ERI,0,0,0,0
ES,ESP,0,0,0,126
ET,ETH,0,0,0,7
FI,FIN,0,0,0,0
FJ,FJI,0,0,0,0
FK,FLK,0,0,0,0
FM,FSM,0,0,0,0
FO,FRO,0,0,0,0
FR,FRA,0,0,74,112
GA,GAB,0,0,0,0
GB,GBR,0,0,2,5
GD,GRD,0,0,0,0
GE,GEO,0,0,0,0
GF,GUF,0,0,0,0
GG,GGY,0,0,0,0
GH,GHA,0,0,0,0
GI,GIB,0,0,0,0
GL,GRL,0,0,0,0
GM,GMB,0,0,0,0
GN,GIN,0,0,0,0
GP,GLP,0,0,0,2
GQ,GNQ,0,0,0,0
GR,GRC,0,0,0,10
GS,SGS,0,0,0,0
GT,GTM,0,0,0,3
GU,GUM,0,0,0,0
GW,GNB,0,0,0,0
GY,GUY,0,0,0,0
HK,HKG,0,1,0,0
HM,HMD,0,0,0,0
HN,HND,0,0,0,0
HR,HRV,0,0,0,0
HT,HTI,0,0,0,0
HU,HUN,0,0,0,0
ID,IDN,0,0,0,1
IE,IRL,0,0,0,0
IL,ISR,0,0,0,0
IM,IMN,0,0,0,0
IN,IND,0,1,0,1
IO,IOT,0,0,0,0
IQ,IRQ,0,0,0,0
IR,IRN,0,0,0,1
IS,ISL,0,0,0,0
IT,ITA,0,0,83,19
JE,JEY,0,0,0,0
JM,JAM,0,0,0,0
JO,JOR,0,0,0,0
JP,JPN,215,104,42,1
KE,KEN,0,0,0,0
KG,KGZ,0,0,0,0
KH,KHM,0,0,0,0
KI,KIR,0,0,0,0
KM,COM,0,0,0,0
KN,KNA,0,0,0,0
KP,PRK,0,18,0,0
KR,KOR,0,95,0,0
KW,KWT,0,0,0,0
KY,CYM,0,0,0,0
KZ,KAZ,0,0,0,0
LA,LAO,0,0,0,0
LB,LBN,0,0,0,0
LC,LCA,0,0,0,0
LI,LIE,0,0,0,0
LK,LKA,0,0,0,0
LR,LBR,0,0,0,0
LS,LSO,0,0,0,0
LT,LTU,0,0,0,0
LU,LUX,0,0,0,0
LV,LVA,0,0,0,0
LY,LBY,0,0,0,0
MA,MAR,0,0,0,0
MC,MCO,0,0,0,0
MD,MDA,0,0,0,1
ME,MNE,0,0,0,0
MF,MAF,0,0,0,0
MG,MDG,0,0,0,1
MH,MHL,0,0,0,0
MK,MKD,0,4,0,0
ML,MLI,0,0,0,0
MM,MMR,0,0,0,0
MN,MNG,0,0,0,0
MO,MAC,0,0,0,0
MP,MNP,0,0,0,0
MQ,MTQ,0,0,0,2
MR,MRT,0,0,0,0
MS,MSR,0,0,0,0
MT,MLT,0,0,0,0
MU,MUS,0,0,0,0
MV,MDV,0,0,0,0
MW,MWI,0,0,0,0
MX,MEX,0,0,0,5
MY,MYS,0,0,0,0
MZ,MOZ,0,0,0,0
,NAM,0,0,0,0
NC,NCL,0,0,0,0
NE,NER,0,0,0,0
NF,NFK,0,0,0,0
NG,NGA,0,0,0,0
NI,NIC,0,0,0,0
NL,NLD,0,0,8,13
NO,NOR,1,0,12,33
NP,NPL,0,2,0,1
NR,NRU,0,0,0,0
NU,NIU,0,0,0,0
NZ,NZL,0,0,0,13
OM,OMN,0,0,0,0
PA,PAN,0,0,0,0
PE,PER,0,0,0,2
PF,PYF,0,0,0,1
PG,PNG,0,0,0,0
PH,PHL,0,1,0,0
PK,PAK,0,0,0,1
PL,POL,0,0,0,0
PM,SPM,0,0,0,0
PN,PCN,0,0,0,0
PR,PRI,0,0,0,0
PS,PSE,0,0,0,0
PT,PRT,0,0,0,2
PW,PLW,0,0,0,0
PY,PRY,0,0,0,0
QA,QAT,0,0,0,0
RE,REU,0,0,0,7
RO,ROU,0,1,0,8
RS,SRB,0,0,0,0
RU,RUS,0,6,0,3
RW,RWA,0,0,0,0
SA,SAU,0,0,0,0
SB,SLB,0,0,0,0
SC,SYC,0,0,0,0
SD,SDN,0,0,0,0
SE,SWE,0,0,2,0
SG,SGP,0,0,0,0
SH,SHN,0,0,0,0
SI,SVN,0,0,0,0
SJ,SJM,0,0,0,0
SK,SVK,0,0,0,0
SL,SLE,0,0,0,0
SM,SMR,0,0,0,0
SN,SEN,0,0,0,0
SO,SOM,0,0,0,0
SR,SUR,0,0,0,0
SS,SSD,0,0,0,0
ST,STP,0,0,0,0
SV,SLV,0,0,0,0
SX,SXM,0,0,0,0
SY,SYR,0,0,0,0
SZ,SWZ,0,0,0,0
TC,TCA,0,0,0,0
TD,TCD,0,0,0,0
TF,ATF,0,0,0,0
TG,TGO,0,0,0,0
TH,THA,0,0,0,0
TJ,TJK,0,0,0,0
TK,TKL,0,0,0,0
TL,TLS,0,0,0,0
TM,TKM,0,0,0,0
TN,TUN,0,0,0,0
TO,TON,0,0,0,0
TR,TUR,0,0,0,0
TT,TTO,0,0,0,0
TV,TUV,0,0,0,0
TW,TWN,5,1,0,0
TZ,TZA,0,0,0,3
UA,UKR,1,0,0,9
UG,UGA,0,0,0,0
UM,UMI,0,0,0,0
US,USA,1,26,8986,43
UY,URY,0,0,0,0
UZ,UZB,0,0,0,0
VA,VAT,0,0,0,0
VC,VCT,0,0,0,0
VE,VEN,0,0,0,0
VG,VGB,0,0,0,0
VI,VIR,0,0,0,0
VN,VNM,0,1,1,0
VU,VUT,0,0,0,0
WF,WLF,0,0,0,0
WS,WSM,0,0,0,0
YE,YEM,0,0,0,0
YT,MYT,0,0,0,0
ZA,ZAF,0,0,0,0
ZM,ZMB,0,0,0,0
ZW,ZWE,0,0,0,0
